,Color Chosen
2018-01-01,18
2018-01-02,27
2018-01-03,12
2018-01-04,1
2018-01-05,1
2018-01-06,2
2018-01-07,22
2018-01-08,12
2018-01-09,15
2018-01-10,29
2018-01-11,13
2018-01-12,7
2018-01-13,3
2018-01-14,22
2018-01-15,11
2018-01-16,13
2018-01-17,20
2018-01-18,2
2018-01-19,28
2018-01-20,16
2018-01-21,14
2018-01-22,24
2018-01-23,11
2018-01-24,3
2018-01-25,7
2018-01-26,1
2018-01-27,2
2018-01-28,6
2018-01-29,14
2018-01-30,21
2018-01-31,29
2018-02-01,17
2018-02-02,13
2018-02-03,11
2018-02-04,22
2018-02-05,29
2018-02-06,24
2018-02-07,21
2018-02-08,3
2018-02-09,16
2018-02-10,24
2018-02-11,15
2018-02-12,9
2018-02-13,1
2018-02-14,16
2018-02-15,21
2018-02-16,4
2018-02-17,15
2018-02-18,23
2018-02-19,0
2018-02-20,8
2018-02-21,27
2018-02-22,18
2018-02-23,27
2018-02-24,17
2018-02-25,26
2018-02-26,20
2018-02-27,7
2018-02-28,2
2018-03-01,6
2018-03-02,21
2018-03-03,17
2018-03-04,8
2018-03-05,20
2018-03-06,20
2018-03-07,20
2018-03-08,19
2018-03-09,12
2018-03-10,19
2018-03-11,20
2018-03-12,25
2018-03-13,17
2018-03-14,1
2018-03-15,11
2018-03-16,13
2018-03-17,20
2018-03-18,21
2018-03-19,9
2018-03-20,23
2018-03-21,18
2018-03-22,15
2018-03-23,1
2018-03-24,19
2018-03-25,2
2018-03-26,5
2018-03-27,10
2018-03-28,11
2018-03-29,13
2018-03-30,15
2018-03-31,15
2018-04-01,8
2018-04-02,27
2018-04-03,0
2018-04-04,8
2018-04-05,10
2018-04-06,20
2018-04-07,18
2018-04-08,24
2018-04-09,28
2018-04-10,2
2018-04-11,20
2018-04-12,15
2018-04-13,19
2018-04-14,11
2018-04-15,18
2018-04-16,11
2018-04-17,14
2018-04-18,2
2018-04-19,24
2018-04-20,0
2018-04-21,10
2018-04-22,17
2018-04-23,17
2018-04-24,5
2018-04-25,22
2018-04-26,7
2018-04-27,20
2018-04-28,0
2018-04-29,6
2018-04-30,14
2018-05-01,28
2018-05-02,10
2018-05-03,0
2018-05-04,8
2018-05-05,12
2018-05-06,26
2018-05-07,0
2018-05-08,5
2018-05-09,1
2018-05-10,22
2018-05-11,22
2018-05-12,13
2018-05-13,25
2018-05-14,22
2018-05-15,0
2018-05-16,18
2018-05-17,20
2018-05-18,11
2018-05-19,18
2018-05-20,1
2018-05-21,15
2018-05-22,7
2018-05-23,25
2018-05-24,20
2018-05-25,26
2018-05-26,7
2018-05-27,29
2018-05-28,24
2018-05-29,21
2018-05-30,3
2018-05-31,24
2018-06-01,24
2018-06-02,26
2018-06-03,8
2018-06-04,3
2018-06-05,2
2018-06-06,9
2018-06-07,22
2018-06-08,14
2018-06-09,15
2018-06-10,14
2018-06-11,28
2018-06-12,9
2018-06-13,25
2018-06-14,10
2018-06-15,5
2018-06-16,25
2018-06-17,4
2018-06-18,22
2018-06-19,8
2018-06-20,10
2018-06-21,3
2018-06-22,4
2018-06-23,26
2018-06-24,11
2018-06-25,26
2018-06-26,0
2018-06-27,0
2018-06-28,1
2018-06-29,11
2018-06-30,18
2018-07-01,29
2018-07-02,6
2018-07-03,22
2018-07-04,29
2018-07-05,10
2018-07-06,29
2018-07-07,11
2018-07-08,19
2018-07-09,11
2018-07-10,13
2018-07-11,23
2018-07-12,28
2018-07-13,19
2018-07-14,5
2018-07-15,8
2018-07-16,19
2018-07-17,5
2018-07-18,28
2018-07-19,28
2018-07-20,27
2018-07-21,12
2018-07-22,13
2018-07-23,14
2018-07-24,4
2018-07-25,19
2018-07-26,1
2018-07-27,3
2018-07-28,16
2018-07-29,11
2018-07-30,26
2018-07-31,14
2018-08-01,16
2018-08-02,8
2018-08-03,25
2018-08-04,0
2018-08-05,26
2018-08-06,14
2018-08-07,29
2018-08-08,18
2018-08-09,22
2018-08-10,15
2018-08-11,4
2018-08-12,29
2018-08-13,5
2018-08-14,7
2018-08-15,21
2018-08-16,13
2018-08-17,5
2018-08-18,0
2018-08-19,29
2018-08-20,3
2018-08-21,15
2018-08-22,0
2018-08-23,25
2018-08-24,13
2018-08-25,19
2018-08-26,11
2018-08-27,25
2018-08-28,17
2018-08-29,24
2018-08-30,22
2018-08-31,20
2018-09-01,24
2018-09-02,14
2018-09-03,11
2018-09-04,5
2018-09-05,24
2018-09-06,23
2018-09-07,22
2018-09-08,14
2018-09-09,25
2018-09-10,11
2018-09-11,7
2018-09-12,18
2018-09-13,12
2018-09-14,15
2018-09-15,2
2018-09-16,25
2018-09-17,0
2018-09-18,3
2018-09-19,16
2018-09-20,9
2018-09-21,17
2018-09-22,10
2018-09-23,7
2018-09-24,1
2018-09-25,5
2018-09-26,5
2018-09-27,8
2018-09-28,7
2018-09-29,10
2018-09-30,4
2018-10-01,11
2018-10-02,9
2018-10-03,29
2018-10-04,9
2018-10-05,13
2018-10-06,20
2018-10-07,4
2018-10-08,9
2018-10-09,18
2018-10-10,26
2018-10-11,18
2018-10-12,26
2018-10-13,26
2018-10-14,4
2018-10-15,19
2018-10-16,17
2018-10-17,22
2018-10-18,6
2018-10-19,11
2018-10-20,5
2018-10-21,14
2018-10-22,7
2018-10-23,20
2018-10-24,9
2018-10-25,7
2018-10-26,6
2018-10-27,26
2018-10-28,12
2018-10-29,29
2018-10-30,7
2018-10-31,7
2018-11-01,4
2018-11-02,17
2018-11-03,25
2018-11-04,11
2018-11-05,29
2018-11-06,29
2018-11-07,4
2018-11-08,3
2018-11-09,12
2018-11-10,4
2018-11-11,29
2018-11-12,8
2018-11-13,10
2018-11-14,23
2018-11-15,22
2018-11-16,15
2018-11-17,23
2018-11-18,9
2018-11-19,21
2018-11-20,7
2018-11-21,14
2018-11-22,23
2018-11-23,29
2018-11-24,21
2018-11-25,20
2018-11-26,0
2018-11-27,15
2018-11-28,26
2018-11-29,23
2018-11-30,6
2018-12-01,1
2018-12-02,9
2018-12-03,28
2018-12-04,0
2018-12-05,17
2018-12-06,2
2018-12-07,23
2018-12-08,5
2018-12-09,15
2018-12-10,26
2018-12-11,23
2018-12-12,10
2018-12-13,17
2018-12-14,16
2018-12-15,11
2018-12-16,17
2018-12-17,20
2018-12-18,26
2018-12-19,1
2018-12-20,3
2018-12-21,27
2018-12-22,9
2018-12-23,10
2018-12-24,28
2018-12-25,11
2018-12-26,25
2018-12-27,5
2018-12-28,10
2018-12-29,27
2018-12-30,12
2018-12-31,9
